a	ā,ə, yek
splint	splint, hesinê tirênê
splinter	ˈsplin(t)ər, kûrtal
splinters	noun, kûrtal
splints	noun, hesinê tirênê
split	split, qelişandin
splits	verb, qelişandin
splitting	verb, qelişandin
spoil	spoil, gennîbûn
spoiling	verb, gennîbûn
spoils	verb, gennîbûn
spoke	spōk, axaftin
sponge	spənj, singer
sponges	noun, singer
sponsor	ˈspänsər, alîkar
sponsors	noun, alîkar
spontaneous	spänˈtānēəs, bixwe
spoon	spo͞on, kevçî
spoons	noun, kevçî
sporadic	spəˈradik, hemane
sport	spôrt, sîpor
sportier	ˈspôrtē, sîporî
sportiest	ˈspôrtē, sîporî
sports	noun, sîpor
sportsman	ˈspôrtsmən, bedenparêz
sportsmanship	noun, sîporî
sportsmen	noun, bedenparêz
sportswoman	ˈspôrtsˌwo͝omən, sîporbaz
sporty	ˈspôrtē, sîporî
spot	spät, leke
spotless	ˈspätlis, bêleke
spots	noun, leke
spottier	ˈspätē, lekyî
spottiest	ˈspätē, lekyî
spotty	ˈspätē, lekyî
spouse	spous, mêr
spouses	noun, mêr
sprain	sprān, velistîn
sprained	verb, velistîn
spraining	verb, velistîn
sprains	sprān, velistîn
spray	sprā, pejiqandin
sprayed	verb, pejiqandin
spraying	verb, pejiqandin
sprays	sprā, pejiqandin
spread	spred, belakirin
spreading	verb, belakirin
spreads	verb, belakirin
spring	spriNG, kanî
springs	noun, kanî
sprinkle	ˈspriNGkəl, pijiqandin
sprinkled	verb, pijiqandin
sprinkles	verb, pijiqandin
sprinkling	ˈspriNGk(ə)liNG, pijiqandin
spun	verb, hûnîn
spy	spī, xwedanber
spying	noun, xwedanberî
squadron	ˈskwädrən, hêz
squadrons	ˈskwädrən, hêz
square	skwe(ə)r, çarqozî
squeak	skwēk, qirçîn
squeaked	skwēk, qirçîn
squeaking	verb, qirçîn
squeaks	skwēk, qirçîn
squeeze	skwēz, pêlêkirin
squeezed	verb, pêlêkirin
squeezes	skwēz, pêlêkirin
squeezing	verb, pêlêkirin
squid	skwid, masî mirekeb
squids	noun, masî mirekeb
squirrel	ˈskwər(ə)l, sihorîk
squirrels	noun, sihorîk
stab	stab, têrekirin
stabbed	verb, têrekirin
stabbing	verb, têrekirin
stabilise	ˈstābəˌlīz, zexmkirin
stabilised	verb, zexmkirin
stabilises	verb, zexmkirin
stabilising	verb, zexmkirin
stabilities	stəˈbilitē, nehejî
stability	stəˈbilitē, nehejî
stabilize	ˈstābəˌlīz, zexmkirin
stabilized	verb, zexmkirin
stabilizes	verb, zexmkirin
stabilizing	verb, zexmkirin
stable	ˈstābəl, stewr
stables	noun, stewr
stabs	stab, têrekirin
stack	stak, lodkirin
stacked	stakt, lodkirin
stacking	verb, lodkirin
stacks	verb, lodkirin
stadia	noun, stadyom
stadium	ˈstādēəm, stadyom
stadiums	noun, stadyom
staff	staf, darik
Staffs	noun, darik
staffs	noun, darik
stage	stāj, şanocî
stages	noun, şanocî
stagger	ˈstagər, lerzîn
staggered	verb, lerzîn
staggering	verb, lerzîn
staggers	ˈstagərz, lerzîn
stagnant	ˈstagnənt, sekinî
stain	stān, leke
stains	noun, leke
stairs	noun, pêlik
stall	stôl, axûr
stalls	noun, axûr
stamina	ˈstamənə, berxwedanî
stamp	stamp, morkirin
stamped	verb, morkirin
stamping	verb, morkirin
stamps	verb, morkirin
stand	stand, serpêsekinîn
standard	ˈstandərd, rêzan
standardise	ˈstandərˌdīz, yekkirin
standardised	verb, yekkirin
standardises	ˈstandərˌdīz, yekkirin
standardising	verb, yekkirin
standardize	ˈstandərˌdīz, yekkirin
standardized	verb, yekkirin
standardizes	ˈstandərˌdīz, yekkirin
standardizing	verb, yekkirin
standards	noun, rêzan
standing	ˈstandiNG, serpêsekinîn
stands	verb, serpêsekinîn
stank	verb, bîna gennî jêhatin
star	stär, stêrk
starboard	ˈstärˌbôrd, pêşîya gemîyê
starch	stärCH, qawet
starches	noun, qawet
stare	ste(ə)r, ziqnerrîn
stared	ste(ə)r, ziqnerrîn
stares	ste(ə)r, ziqnerrîn
starfish	ˈstärˌfiSH, avstêrk
starfishes	noun, avstêrk
staring	verb, ziqnerrîn
stars	noun, stêrk
s t a r t	stärt, destpêk
start	stärt, destpêk
started	verb, destpêkirin
startle	ˈstärtl, tirsîn
startled	verb, tirsîn
startles	ˈstärtl, tirsîn
startling	ˈstärtl-iNG, tirsîn
starts	noun, destpêk
starvation	stärˈvāSHən, ji naza mirin
starve	stärv, birçîman
starved	verb, birçîman
starves	stärv, birçîman
starving	verb, birçîman
state	stāt, berçavraxistin
stated	ˈstātid, berçavraxistin
statement	ˈstātmənt, îfade
statements	noun, îfade
stating	verb, berçavraxistin
station	ˈstāSHən, îstesyon
stationary	ˈstāSHəˌnerē, çikandî
stations	ˈstāSHən, îstesyon
statistics	stəˈtistiks, jimare
statue	ˈstaCHo͞o, pût
statues	noun, pût
status	ˈstatəs,ˈstātəs, cî
statuses	ˈstatəs,ˈstātəs, cî
staves	noun, darik
stay	stā, sekinok
stayed	verb, mayin
staying	verb, mayin
stays	noun, sekinok
steal	stēl, dizîn
stealing	verb, dizîn
steals	verb, dizîn
steam	stēm, bixar
steamier	ˈstēmē, bixarî
steamiest	ˈstēmē, bixarî
steamy	ˈstēmē, bixarî
steel	stēl, pola
steels	noun, pola
steep	stēp, tûj
steeper	adjective, tûj
steepest	stēp, tûj
steer	sti(ə)r, hefsarkirin
steered	verb, hefsarkirin
steering	ˈsti(ə)riNG, hefsar
steering wheel	, hefsar
steers	sti(ə)r, hefsarkirin
stem	stem, qam
stems	noun, qam
step	step, gavdan
stepfather	ˈstepˌfäT͟Hər, bamarî
stepfathers	noun, bamarî
stepmother	ˈstepˌməT͟Hər, dêmarî
stepmothers	noun, dêmarî
stepped	stept, gavdan
stepping	verb, gavdan
Steps	verb, gavdan
steps	verb, gavdan
stereo	ˈsterē-ō,ˈsti(ə)r-, dûdeng
stereos	ˈsterē-ō,ˈsti(ə)r-, dûdeng
sterile	ˈsterəl, paqij
sterilise	ˈsterəˌlīz, paqijkirin
sterilised	verb, paqijkirin
sterilises	ˈsterəˌlīz, paqijkirin
sterilising	verb, paqijkirin
sterilize	ˈsterəˌlīz, paqijkirin
sterilized	verb, paqijkirin
sterilizes	ˈsterəˌlīz, paqijkirin
sterilizing	verb, paqijkirin
stern	stərn, pêşî
sterns	noun, pêşî
steward	ˈst(y)o͞oərd, karkerê balafirê
stewardess	ˈst(y)o͞oərdis, karkera balafirê
stewardesses	ˈst(y)o͞oərdis, karkera balafirê
stewards	ˈst(y)o͞oərd, karkerê balafirê
stick	stik, dar
sticker	ˈstikər, lezaqok
stickers	noun, lezaqok
stickier	ˈstikē, lezeqî
stickiest	ˈstikē, lezeqî
sticky	ˈstikē, lezeqî
stiff	stif, hişk
stiffer	stif, hişk
stiffest	stif, hişk
still	stil, hîn
stiller	adjective, hîn
stillest	stil, hîn
stimulate	ˈstimyəˌlāt, mizdan
stimulated	verb, mizdan
stimulates	ˈstimyəˌlāt, mizdan
stimulating	ˈstimyəˌlātiNG, mizdan
stimulation	noun, bicankirinî
stimulations	noun, bicankirinî
sting	stiNG, pêvedan
stinging	verb, pêvedan
stings	stiNG, pêvedan
stink	stiNGk, bîna gennî jêhatin
stinking	ˈstiNGkiNG, bîna gennî jêhatin
stinks	verb, bîna gennî jêhatin
stir	stər, lihevxistin
stirring	ˈstəriNG, lihevxistin
stirrup	ˈstir-,ˈstə-rəp,ˈstərəp, çengel
stirrups	noun, çengel
stirs	verb, lihevxistin
stock	stäk, tedarîkkirin
stocked	verb, tedarîkkirin
stocking	ˈstäkiNG, tedarîkkirin
stockings	noun, gore
stock market	, borse
stocks	verb, tedarîkkirin
stole	stōl, dizîn
stolen	verb, dizîn
stomach	ˈstəmək, made
stomachs	ˈstəmək, made
stone	stōn, kevirî
stones	noun, kevir
stood	verb, serpêsekinîn
stop	stäp, rawestok
stopped	verb, rawestan
stopper	ˈstäpər, girtok
stoppers	ˈstäpər, girtok
stopping	verb, rawestan
stops	noun, rawestok
storage	ˈstôrij, embarkirinî
storages	ˈstôrij, embarkirinî
store	stôr, dikan
storeroom	-ˌro͝om,ˈstôrˌro͞om, embar
storerooms	noun, embar
stores	noun, dikan
stories	noun, dîrok
storm	stôrm, bahoz
stormier	ˈstôrmē, bahozane
stormiest	ˈstôrmē, bahozane
storms	noun, bahoz
stormy	ˈstôrmē, bahozane
story	ˈstôrē, dîrok
stove	stōv, sobe
stoves	stōv, sobe
straight	strāt, seranser
straighten	ˈstrātn, rastkirin
straightened	ˈstrātn, rastkirin
straightening	verb, rastkirin
straightens	ˈstrātn, rastkirin
straighter	adjective, rast
straightest	strāt, rast
strain	strān, kedxwarî
strains	noun, kedxwarî
strait	strāt, deryateng
strange	strānj, xerîb
stranger	ˈstrānjər, beyanî
strangers	noun, beyanî
strangest	strānj, xerîb
strangle	ˈstraNGgəl, xeniqandin
strangled	verb, xeniqandin
strangles	ˈstraNGgəlz, xeniqandin
strangling	verb, xeniqandin
strategic	strəˈtējik, stratejîk
strategies	noun, stratejîk
strategy	ˈstratəjē, stratejîk
straw	strô, ka
strawberries	noun, tû
strawberry	-b(ə)rē,ˈstrôˌberē, tû
straws	noun, ka
stream	strēm, herrok
streams	noun, herrok
street	strēt, rêgah
streetcar	noun, trambahn
streetcars	noun, trambahn
streets	noun, rêgah
strength	streNG(k)TH,strenTH, qawet
strengthen	ˈstreNG(k)THən,ˈstren-, hêzkirin
strengthened	verb, hêzkirin
strengthening	verb, hêzkirin
strengthens	ˈstreNG(k)THən,ˈstren-, hêzkirin
strengths	noun, qawet
strenuous	ˈstrenyo͞oəs, zehmetker
stress	stres, dûbare
stresses	noun, dûbare
stretch	streCH, dirêjkirin
stretcher	ˈstreCHər, sellace
stretchers	noun, sellace
stretches	verb, dirêjkirin
stretching	verb, dirêjkirin
strict	strikt, zexma
stricter	adjective, zexma
strictest	strikt, zexma
strike	strīk, lêxistin
strikes	verb, lêxistin
striking	ˈstrīkiNG, lêxistin
string	striNG, ben
strings	noun, ben
stripe	strīp, tîrêj
stripes	noun, tîrêj
strive	strīv, xwestin
striven	verb, xwestin
strives	verb, xwestin
striving	verb, xwestin
strong	strôNG, qewî
stronger	adjective, qewî
strongest	adjective, qewî
strove	verb, xwestin
struck	verb, lêxistin
structure	ˈstrəkCHər, awayî
structures	noun, awayî
struggle	ˈstrəgəl, şerr
struggles	noun, şerr
stubborn	ˈstəbərn, hişk
student	ˈst(y)o͞odnt, zankoyî
studied	ˈstədēd, xwendina zanko
study	ˈstədē, xwendina zanko
studying	verb, xwendina zanko
stuff	stəf, xetimandin
stuffed	verb, xetimandin
stuffing	ˈstəfiNG, navî
stuffings	ˈstəfiNG, navî
stuffs	verb, xetimandin
stumble	ˈstəmbəl, likûmîn
stumbled	verb, likûmîn
stumbles	ˈstəmbəl, likûmîn
stumbling	verb, likûmîn
stump	stəmp, serkor
stumps	noun, serkor
stung	verb, pêvedan
stunk	verb, bîna gennî jêhatin
stupid	ˈst(y)o͞opid, balûle
stupider	ˈst(y)o͞opid, balûle
stupidest	ˈst(y)o͞opid, balûle
stupidities	st(y)o͞oˈpiditē, balûletî
stupidity	st(y)o͞oˈpiditē, balûletî
stutter	ˈstətər, lalîn
stuttered	ˈstətər, lalîn
stuttering	verb, lalîn
stutters	ˈstətər, lalîn
style	stīl, awayî
styles	noun, awayî
subject	, binxistin
subjected	verb, binxistin
subjecting	verb, binxistin
subjective	səbˈjektiv, nezerî
subjects	verb, binxistin
submarine	ˈsəbməˌrēn,ˌsəbməˈrēn, bota binavê
submarines	ˈsəbməˌrēn,ˌsəbməˈrēn, bota binavê
submerge	səbˈmərj, binavçûn
submerged	verb, binavçûn
submerges	səbˈmərj, binavçûn
submerging	verb, binavçûn
submission	səbˈmiSHən, binxwekirinî
submissions	səbˈmiSHən, binxwekirinî
submissive	səbˈmisiv, gûhlê
submit	səbˈmit, nermijîn
submits	səbˈmit, nermijîn
submitted	verb, nermijîn
submitting	verb, nermijîn
subpoena	səˈpēnə, dawetname
subpoenas	səˈpēnə, dawetname
subscription	səbˈskripSHən, abonetî
subscriptions	noun, abonetî
subsequent	ˈsəbsəkwənt, lipê
subsidiaries	noun, şîrketa girêdayî
subsidiary	səbˈsidēˌerē, şîrketa girêdayî
subsidies	noun, alî
subsidise	ˈsəbsəˌdīz, piştgirtin
subsidised	verb, piştgirtin
subsidises	ˈsəbsəˌdīz, piştgirtin
subsidising	verb, piştgirtin
subsidize	ˈsəbsəˌdīz, piştgirtin
subsidized	verb, piştgirtin
subsidizes	ˈsəbsəˌdīz, piştgirtin
subsidizing	verb, piştgirtin
subsidy	ˈsəbsidē, alî
substance	ˈsəbstəns, navik
substances	noun, navik
substitute	ˈsəbstiˌt(y)o͞ot, diberdasitin
substituted	verb, diberdasitin
substitutes	verb, diberdasitin
substituting	verb, diberdasitin
subtitle	ˈsəbˌtītl, binnivîs
subtract	səbˈtrakt, jêkêmkirin
subtracted	verb, jêkêmkirin
subtracting	verb, jêkêmkirin
subtraction	səbˈtrakSHən, jexistinî
subtractions	səbˈtrakSHən, jexistinî
subtracts	səbˈtrakt, jêkêmkirin
suburb	ˈsəbərb, bergûnd
suburbs	noun, bergûnd
subway	ˈsəbˌwā, tirêna binerdî
subways	ˈsəbˌwā, tirêna binerdî
succeed	səkˈsēd, serketin
succeeded	verb, serketin
succeeding	səkˈsēdiNG, serketin
succeeds	verb, serketin
success	səkˈses, serketinî
successes	noun, serketinî
successful	səkˈsesfəl, serfiraz
successive	səkˈsesiv, li pêhev
successor	səkˈsesər, karkerê li pêhat
successors	səkˈsesər, karkerê li pêhat
such	səCH, yên wisa
suck	sək, mêtin
sucked	verb, mêtin
sucking	verb, mêtin
sucks	verb, mêtin
suction	ˈsəkSHən, mête
sudden	ˈsədn, nişka
suddenly	ˈsədn-lē, nişkê
sue	so͞o, dozkirin
sued	verb, dozkirin
sues	so͞o, dozkirin
suffer	ˈsəfər, êşkişîn
suffered	verb, êşkişîn
suffering	ˈsəf(ə)riNG, êşkişîn
suffers	ˈsəfər, êşkişîn
sufficient	səˈfiSHənt, bese
suffocate	ˈsəfəˌkāt, fetisîn
suffocated	verb, fetisîn
suffocates	ˈsəfəˌkāt, fetisîn
suffocating	verb, fetisîn
suffocation	noun, fetis
sugar	ˈSHo͝ogər, îekir
sugars	noun, îekir
suggestion	sə(g)ˈjesCHən, pêşnîyar
suggestions	noun, pêşnîyar
suicide	ˈso͞oiˌsīd, xwekûştinî
suicides	ˈso͞oiˌsīd, xwekûştinî
suing	verb, dozkirin
suit	so͞ot, qat
suitable	ˈso͞otəbəl, lêtê
suitcase	ˈso͞otˌkās, bahol
suitcases	noun, bahol
suits	noun, qat
sum	səm, giş
summaries	ˈsəmərē, berhevkirinî
summarise	ˈsəməˌrīz, bihevrekirin
summarised	verb, bihevrekirin
summarises	ˈsəməˌrīz, bihevrekirin
summarising	verb, bihevrekirin
summarize	ˈsəməˌrīz, bihevrekirin
summarized	verb, bihevrekirin
summarizes	ˈsəməˌrīz, bihevrekirin
summarizing	verb, bihevrekirin
summary	ˈsəmərē, berhevkirinî
summer	ˈsəmər, havîn
summers	noun, havîn
summit	ˈsəmit, ser
summits	ˈsəmit, ser
summon	ˈsəmən, gazîkirin
summoned	verb, gazîkirin
summoning	verb, gazîkirin
summons	ˈsəmənz, gazîname
summonses	noun, gazîname
sums	noun, giş
sun	sən, tav
sunburn	ˈsənˌbərn, şewata tavê
sunburns	noun, şewata tavê
Sunday	-dē,ˈsəndā, yekşem
sunday	noun, yekşem
Sundays	noun, yekşem
sung	verb, stran
sunk	verb, pêdeçûn
sunnier	ˈsənē, ro
sunniest	ˈsənē, ro
sunny	ˈsənē, ro
sunrise	ˈsənˌrīz, rohilatî
Suns	noun, tav
suns	noun, tav
sunset	ˈsənˌset, roava
sunsets	noun, roava
sunshine	ˈsənˌSHīn, tîrêja tavê
sunstroke	ˈsənˌstrōk, tavlêdan
sunstrokes	ˈsənˌstrōk, tavlêdan
super	ˈso͞opər, mezin
superficial	ˌso͞opərˈfiSHəl, astarî
superior	səˈpi(ə)rēər, baştir
superiorities	-ˈäritē,səˌpi(ə)rēˈôritē, serketinî
superiority	-ˈäritē,səˌpi(ə)rēˈôritē, serketinî
supermarket	ˈso͞opərˌmärkit, dikana mezin
superstition	ˌso͞opərˈstiSHən, reşbawerî
superstitions	noun, reşbawerî
superstitious	ˌso͞opərˈstiSHəs, reşbawer
supervise	ˈso͞opərˌvīz, gûhliserbûn
supervised	ˈso͞opərˌvīz, gûhliserbûn
supervises	ˈso͞opərˌvīz, gûhliserbûn
supervising	verb, gûhliserbûn
supervision	ˌso͞opərˈviZHən, gûhliserî
supervisor	ˈso͞opərˌvīzər, gûhliser
supervisors	noun, gûhliser
supper	ˈsəpər, şîv
suppers	ˈsəpər, şîv
supplement	, zêdayî
supplements	noun, zêdayî
supplied	verb, şandin
supplier	noun, şandevan
suppliers	noun, şandevan
supplies	verb, şandin
supply	səˈplī, şandin
supplying	verb, şandin
support	səˈpôrt, piştgirtin
supported	verb, piştgirtin
supporting	verb, piştgirtin
supports	verb, piştgirtin
suppose	səˈpōz, bawerkirin
supposed	səˈpōzd,səˈpōzid, bawerkirin
supposedly	səˈpōzidlē, qaşo
supposes	səˈpōz, bawerkirin
supposing	verb, bawerkirin
suppress	səˈpres, bindestkirin
suppressed	verb, bindestkirin
suppresses	səˈpres, bindestkirin
suppressing	verb, bindestkirin
supremacies	so͞o-,səˈpreməsē, serketinî
supremacy	so͞o-,səˈpreməsē, serketinî
supreme	so͞o-,səˈprēm, bilindtirîn
surcharge	ˈsərˌCHärj, pêdan
surcharges	ˈsərˌCHärj, pêdan
sure	SHo͝or, emîn
surer	SHo͝or, emîn
surest	SHo͝or, emîn
surface	ˈsərfis, rû
surfaces	ˈsərfis, rû
surgeon	ˈsərjən, emelîkar
surgeons	ˈsərjən, emelîkar
surgeries	noun, emelî
surgery	ˈsərjərē, emelî
surgical	ˈsərjikəl, emelî
surname	ˈsərˌnām, paşnav
surnames	ˈsərˌnām, paşnav
surpass	sərˈpas, jêborîn
surpassed	verb, jêborîn
surpasses	sərˈpas, jêborîn
surpassing	sərˈpasiNG, jêborîn
surplus	ˈsərpləs, zêdeyî
surpluses	ˈsərpləs, zêdeyî
surprise	sə(r)ˈprīz, nişkeva şakirin
surprises	sə(r)ˈprīz, nişkeva şakirin
surprising	sə(r)ˈprīziNG, nişkevaşakir
surrender	səˈrendər, teslîmkirin
surrendered	verb, teslîmkirin
surrendering	verb, teslîmkirin
surrenders	verb, teslîmkirin
surround	səˈround, dorgirtî
surrounded	verb, dorgirtî
surrounding	səˈroundiNG, dorgirtî
surroundings	səˈroundiNGz, dorhalî
surrounds	verb, dorgirtî
surveillance	sərˈvāləns, kontrol
survey	, pîvane
surveyed	verb, pîvan
surveying	verb, pîvan
surveys	noun, pîvane
survival	sərˈvīvəl, jîyanî
survivals	sərˈvīvəl, jîyanî
survive	sərˈvīv, jîyan
survived	verb, jîyan
survives	sərˈvīv, jîyan
surviving	verb, jîyan
survivor	sərˈvīvər, saxma
survivors	noun, saxma
suspect	, şikpêanîn
suspected	verb, şikpêanîn
suspecting	verb, şikpêanîn
suspects	verb, şikpêanîn
suspend	səˈspend, jikargirtin
suspended	verb, jikargirtin
suspending	verb, jikargirtin
suspends	səˈspend, jikargirtin
suspense	səˈspens, dexsî
suspension	səˈspenSHən, jikargirtinî
suspension bridge	, pira hêlkane
suspensions	noun, jikargirtinî
suspicion	səˈspiSHən, şik
suspicions	noun, şik
suspicious	səˈspiSHəs, nebawer
sustain	səˈstān, lêxwedîderketin
sustained	səˈstānd, lêxwedîderketin
sustaining	verb, lêxwedîderketin
sustains	səˈstān, lêxwedîderketin
swam	verb, ajnêkirin
swamp	swämp, avî
swamps	noun, avî
swarm	swôrm, naxir
swarms	swôrm, naxir
swear	swe(ə)r, sondxwarin
swearing	ˈswe(ə)riNG, sondxwarin
swears	swe(ə)r, sondxwarin
sweat	swet, xwêdan
sweated	verb, xwêdan
sweater	ˈswetər, kenze
sweaters	noun, kenze
sweating	verb, xwêdan
sweats	verb, xwêdan
sweep	swēp, maltin
sweeping	ˈswēpiNG, maltin
sweeps	verb, maltin
sweet	swēt, şêrîn
sweeter	adjective, şêrîn
sweetest	adjective, şêrîn
sweetness	ˈswētnis, şêrînî
swell	swel, werimîn
swelled	verb, werimîn
swelling	ˈsweliNG, nepixok
swellings	ˈsweliNG, nepixok
swells	swel, werimîn
swept	verb, maltin
swim	swim, ajnêkirin
swimming	ˈswimiNG, ajnêkirin
swims	swim, ajnêkirin
swing	swiNG, hejandin
swinging	ˈswiNGiNG, hejandin
swings	verb, hejandin
switch	swiCH, gûherrandin
switched	verb, gûherrandin
switches	verb, gûherrandin
switching	verb, gûherrandin
swollen	adjective, werimî
sword	sôrd, şûr
swords	noun, şûr
swore	verb, sondxwarin
sworn	swôrn, sondxwarin
swum	verb, ajnêkirin
swung	verb, hejandin
symbol	ˈsimbəl, nîşan
symbolic	simˈbälik, nîşane
symbols	noun, nîşan
sympathetic	ˌsimpəˈTHetik, pêrehiskir
sympathies	noun, pêrehis
sympathise	ˈsimpəˌTHīz, pêrehiskirin
sympathised	ˈsimpəˌTHīz, pêrehiskirin
sympathises	ˈsimpəˌTHīz, pêrehiskirin
sympathising	verb, pêrehiskirin
sympathize	ˈsimpəˌTHīz, pêrehiskirin
sympathized	ˈsimpəˌTHīz, pêrehiskirin
sympathizes	ˈsimpəˌTHīz, pêrehiskirin
sympathizing	verb, pêrehiskirin
sympathy	ˈsimpəTHē, pêrehis
symptom	ˈsim(p)təm, xûya
symptoms	noun, xûya
synagogue	ˈsinəˌgäg, hewra
synagogues	ˈsinəˌgäg, hewra
syndrome	ˈsinˌdrōm, xûya
syndromes	ˈsinˌdrōm, xûya
synonym	ˈsinəˌnim, navwekhev
synonyms	noun, navwekhev
synthetic	sinˈTHetik, sûnî
syringe	səˈrinj,ˈsirinj, derzî
syringes	noun, derzî
syrup	ˈsirəp,ˈsər-, şerbet
syrups	ˈsirəp,ˈsər-, şerbet
system	ˈsistəm, sîstem
systematic	ˌsistəˈmatik, sîstemî
systems	noun, sîstem
table	ˈtābəl, mêz
tables	noun, mêz
tablet	ˈtablit, heb
tablets	noun, heb
tack	tak, pênûs
tacks	noun, pênûs
tact	takt, aw
tactful	ˈtak(t)fəl, bihemd
tactical	ˈtaktikəl, hemdîn
tactics	noun, hemdî
tactless	ˈtaktləs, bêhemd
tail	tāl, terrî
tailor	ˈtālər, lebaskar
tailors	noun, lebaskar
tails	noun, terrî
take	tāk, bidestxistin
taken	verb, bidestxistin
takes	verb, bidestxistin
taking	ˈtākiNG, bidestxistin
tale	tāl, gotûbêj
talent	ˈtalənt, jîrî
talents	noun, jîrî
tales	tālz,ˈtālēz, gotûbêj
talk	tôk, peyv
talked	verb, axaftin
talking	ˈtôkiNG, axaftin
talks	noun, peyv
tall	tôl, mezin
taller	adjective, mezin
tallest	adjective, mezin
tame	tām, kedîkirin
tamed	verb, kedîkirin
tamer	adjective, nerm
tames	tām, kedîkirin
tamest	tām, nerm
taming	verb, kedîkirin
tan	tan, tavrengî
tank	taNGk, tanq
tanker	ˈtaNGkər, tankêr
tankers	noun, tankêr
tanks	noun, tanq
tap	tap, dîk
tape	tāp, şirît
tapes	tāp, şirît
taps	noun, dîk
tar	tär, zift
tarantula	təˈranCHələ, pilindir
tarantulae	təˈranCHələ, pilindir
tarantulas	təˈranCHələ, pilindir
target	ˈtärgit, armanc
targets	noun, armanc
tariff	ˈtarif, nasdanî
tariffs	noun, nasdanî
tars	noun, zift
task	task, karî
taste	tāst, tam
tasteful	ˈtāstfəl, birtam
tasteless	ˈtāstlis, bêtam
tastes	noun, tam
tastier	ˈtāstē, tamxweş
tastiest	ˈtāstē, tamxweş
tasty	ˈtāstē, tamxweş
tattoo	taˈto͞o, deqkirin
tattooed	verb, deqkirin
tattooing	verb, deqkirin
tattoos	taˈto͞o, deqkirin
taught	verb, hînkirin
tax	taks, bac
taxation	takˈsāSHən, backirin
taxations	takˈsāSHən, backirin
taxes	noun, bac
taxi	ˈtaksē, texsî
taxies	ˈtaksē, texsî
tea	tē, çay
teach	tēCH, hînkirin
teacher	ˈtēCHər, mamoste
teaches	verb, hînkirin
teaching	ˈtēCHiNG, hînkirin
team	tēm, kom
teams	noun, kom
team work	noun, komkar
teamwork	ˈtēmˌwərk, komkar
tear	te(ə)r,ti(ə)r, qetyan
teared	te(ə)r,ti(ə)r, qetyan
tearing	ˈte(ə)riNG, qetyan
tears	verb, qetyan
teas	tē, çay
tease	tēz, tewzpêkirin
teased	verb, tewzpêkirin
teases	tēz, tewzpêkirin
teasing	verb, tewzpêkirin
teat	tēt, gûhan
teats	noun, gûhan
technical	ˈteknikəl, teknîkî
technicalities	noun, awaşaşî
technicality	ˌtekniˈkalitē, awaşaşî
technician	tekˈniSHən, teknîker
technicians	tekˈniSHən, teknîker
technique	tekˈnēk, teknîk
techniques	noun, teknîk
technologies	noun, teknolocî
technology	tekˈnäləjē, teknolocî
teenager	ˈtēnˌājər, ciwan
teenagers	noun, ciwan
teeth	noun, diran
telecommunications	noun, agahdanyarî
telegram	ˈteləˌgram, têlxiram
telegrams	noun, têlxiram
telegraph	ˈteləˌgraf, têlxiraf
telegraphs	ˈteləˌgraf, têlxiraf
telephone	ˈteləˌfōn, telefûn
telephones	ˈteləˌfōn, telefûn
telescope	ˈteləˌskōp, lûla dûrdîtinê
telescopes	noun, lûla dûrdîtinê
television	ˈteləˌviZHən, televîzyon
televisions	ˈteləˌviZHən, televîzyon
tell	tel, qalkirin
telling	ˈteliNG, qalkirin
tells	verb, qalkirin
temper	ˈtempər, bitrî
temperamental	ˌtemp(ə)rəˈmentl, kêfgûherr
temperature	-ˌCHo͝or,ˈtemp(ə)rəCHər, germî
temperatures	-ˌCHo͝or,ˈtemp(ə)rəCHər, germî
tempers	ˈtempər, bitrî
temple	ˈtempəl, cênîk
temporary	ˈtempəˌrerē, derbasî
tempt	tem(p)t, cerribandin
temptation	tem(p)ˈtāSHən, dilbijînî
temptations	tem(p)ˈtāSHən, dilbijînî
tempted	verb, cerribandin
tempting	ˈtem(p)tiNG, dilkêş
tempts	tem(p)t, cerribandin
ten	ten, deh
tenant	ˈtenənt, kirêdar
tenants	noun, kirêdar
tendencies	noun, meyil
tendency	ˈtendənsē, meyil
tender	ˈtendər, tenik
tenderer	adjective, tenik
tenderest	ˈtendər, tenik
tend on	ˈtendən, jî
tendon	ˈtendən, jî
tendons	ˈtendən, jî
tennis	ˈtenis, tenîs
tense	tens, dem
tenser	adjective, kêşî
tenses	noun, dem
tensest	tens, kêşî
tension	ˈtenSHən, kêşî
tensions	noun, kêşî
tent	tent, kon
tentative	ˈtentətiv, demok
tenth	tenTH, dehemîn
tents	noun, kon
term	tərm, demajo
terminal	ˈtərmənl, rawesta paşîn
terminals	noun, rawesta paşîn
terminate	ˈtərməˌnāt, xelaskirin
terminated	verb, xelaskirin
terminates	ˈtərməˌnāt, xelaskirin
terminating	verb, xelaskirin
termination	ˌtərməˈnāSHən, xelasî
terminations	ˌtərməˈnāSHən, xelasî
terminologies	ˌtərməˈnäləjē, bêjezanî
terminology	ˌtərməˈnäləjē, bêjezanî
termite	ˈtərˌmīt, gêrîk
termites	ˈtərˌmīt, gêrîk
terms	noun, demajo
terrace	ˈteris, dik
terraces	noun, dik
terrain	təˈrān, erd
terrains	təˈrān, erd
terrible	ˈterəbəl, tirsgiran
terribly	ˈterəblē, dilperçeker
terrific	təˈrifik, xofane
terrified	verb, tirsandin
terrifies	ˈterəˌfī, tirsandin
terrify	ˈterəˌfī, tirsandin
