a	ئا
مێروُژه	فارسی:نگا مرؤژ
مێروُژەڵان‌	فارسی:نگا مرؤژه‌ڵان‌
مێرگان‌	فارسی:روستایی در روانسر
مێریجان‌	فارسی:نامی ‌زنانه‌، بر گرفته ‌از «مێڕێ» به ‌معنی ‌نامادری است و «مێریجان‌» به ‌معنی ‌نامادری مهربان ‌ا‌ست‌
مێز	فارسی:١) شاش‌، در اوستا (me ıêze مـَئیزه‌) و (mêz میز) و در متون پهلوی (geıumeıêze گـَئومـَئیزه‌) نوشته ‌شده ‌و درگیلكی‌ (mêzebar مێزه‌بار) گویند ٢) میز، میز و نیمکت
مێزدانـْك	فارسی:مثانه‌
مێزدان‌	فارسی:مثانه‌
مێز كردن‌	فارسی:شاشیدن‌
مێزەجڕگی	فارسی:چك میزك‌
مێزەر	فارسی:عمامه‌
مێزەچڕگی	فارسی:چكمیزك‌
مێزْن	فارسی:شاشو
مێزڵدان‌	فارسی:مثانه‌
مێزیان‌	فارسی:شاشیدن‌
مێزین‌	فارسی:شاشیدن‌
مێشتە	فارسی:نگا مشته‌
مێشەسی	فارسی:هوبره‌
مێش‌مردە	فارسی:حشرەای‌ كه ‌هنگام پرواز تخمهایش ‌را در فـضا پرتاب ‌می‌كند و چنانچه ‌وارد گلوی انسان یا حیوان ‌شود باعث ‌عفونت ‌و بیماری می‌‌گردد
مێكوتەسەر	فارسی:نوزاد قورباغه، ‌شاید از واژه «مییه‌كوت‌» كه‌ نوعی‌ پتك ‌چوبی ا‌ست ‌مشتق‌ شده‌ باشد زیرا نوزاد قورباغه ‌شباهت ‌شكلی بسیاری‌ به‌ «مییه‌كوت‌» دارد
مێكوت‌	فارسی:نگا میه‌كوت‌
مێمانخانە	فارسی:مهمانخانه‌
مێماندار	فارسی:كسی ‌كه ‌از مهمان ‌به خوبی پذیرایی می‌كند
مێمانداری	فارسی:پذیرایی از مهمان‌
مێمانی	فارسی:مهمانی
مێمانیدار	فارسی:آنکه از مهمان ‌به خوبی پذیرایی می‌كند
مێمان‌	فارسی:مهمان‌
مێمڵ	فارسی:١) كم‌ سو شدن‌ و تاری چشم‌ ٢) بلا، آفت‌
مێوانخانە	فارسی:مهمانخانه‌
مێواندار	فارسی:كسی‌ كه ‌از مهمان ‌بخوبی پذیرایی می‌كند
مێوانداری	فارسی:مهمانداری‌
مێوانی	فارسی:مهمانی
مێوانیدار	فارسی:كسی ‌كه ‌بخوبی از مهمان پذیرایی می‌كند
مێوان‌	فارسی:مهمان‌
مێوْلی شێرخان‌	فارسی:روستایی در سرپـُل‏ ‌ذهاب‌
مێيە	فارسی:نده‌، مـَده‌
مێيەتدان‌	فارسی:كمك‌ كردن‌
مێيەتدەر	فارسی:كمك ‌كننده‌
مێيەتی	فارسی:كمكی
مێيەت‌	فارسی:كمك‌ كردن‌
مێيەسەكزی‌	فارسی:نگا مه‌یه‌سه‌كردن‌
مێيەس‌	فارسی:نگا مه‌یه‌س‌
مێيەكی	فارسی:روستایی در سرپـُل ذهاب‌
مێيە لێ	فارسی:او را نزن‌
مێيە لێمان‌	فارسی:ما را نزن‌
مێيه ‌لێم‌	فارسی:مرا نزن‌
مێيەپێ	فارسی:به ‌او نده‌
مێيەپێمان‌	فارسی:به‌ ما نده‌
مێيەپێم‌	فارسی:به‌ من ‌نده‌
مێگۆڕێ	فارسی:روستایی در پاوه
مێڵ	فارسی:١) شرمنده ‌شدن‌، خجل‌ شدن‌ ٢) كج ٣‌) با حالت ‌ناخشنودی نگریستن‌، در سكزی‌‌ «میله‌» به ‌معنی ‌نگریستن ‌ا‌ست‌
مێ‌رەنگین‌	فارسی:روستایی در سرپـُل‌ذهاب‌
مەجەشتی	فارسی:روستایی در هرسین ‌
مەحموود ئاوا	فارسی:دو روستای علیا و سفلی در چمچمال از توابع ‌هرسین
مەزیری	فارسی:روستایی در باینگان
مەلا زووراوی	فارسی:روستایی در گردەنو
م‌	فارسی:١) پسوند مالكیت ٢‌) شناسه ‌اول ‌شخـص‌ مفرد ٣) پسوند ترتیب‌
نؤتـْگ	فارسی:اندك‌
نؤتە	فارسی:١) انگشت‌ كوچك ٢‌) نور بسیار كم‌
نؤتەك‌	فارسی:تاریكی ‌مـطلق‌، دیجور
نؤتگێ	فارسی:اندكی
نؤخانن‌	فارسی:صدای‌ خرگوش ‌در هنگام فرار یا ترس‌
نؤخانگیر	فارسی:ناخونگیر
نؤخان‌	فارسی:ناخون‌، نگا ناخؤن‌
نؤخان ‌وشك‌	فارسی:خسیس‌
نؤر	فارسی:١) نور ٢) نور خدایی
نؤراز	فارسی:روستایی در جلالوند
نؤرانە	فارسی:نورانی
نؤرانی	فارسی:نورانی
نؤرە	فارسی:١) نامی ‌مردانه ٢) آتشفشان‌، كوه ‌آتشفشان‌ ٣) محل‌ آتشكده‌، آتشكده‌ ٤) چاهی كه در قله‌ی كوه ‌باشد
نؤرپەڕی	فارسی:كسی‌ كه‌ نور خدایی در چهره‌اش‌ نباشد
نؤز	فارسی:١) هدفگیری كردن ٢‌) هم ‌ردیف‌ ناز ٣) صدای‌ نازك ‌گریستن‌
نؤزانن‌	فارسی:گریه ‌و بهانه‌ گیری كردن ‌بچه‌
نؤزناز	فارسی:ناز وقهر كردن‌
نؤزن‌	فارسی:بسیار جیغو و بهانه ‌گیر
نؤزە	فارسی:١) صدای‌ گربه ٢‌) صدای‌ گریه ٣‌) صدای‌ ضعیف وخفیف، در لاتین‌ (noise) گویند
نؤزە بڕین‌	فارسی:خاموش‌ كردن ‌آدم ‌گریان‌
نؤزە نؤز	فارسی:صدای‌ «نؤز» ی پیاپی
نؤز وناز	فارسی:ناز وقهر كردن‌
نؤسا	فارسی:نوشت‌
نؤسان‌	فارسی:١) آنها نوشتند ٢) نوشتن‌
نؤساین‌	فارسی:نوشتن‌
نؤسریا	فارسی:نوشته ‌شد
نؤسریاس‌	فارسی:نوشته‌ شده‌ا‌ست‌
نؤسریان‌	فارسی:نوشته ‌شدن‌
نؤسریاگ‌	فارسی:نوشته ‌شده‌
نؤسریاێ	فارسی:نوشته ‌شده‌
نؤسنەك‌	فارسی:١) بذر خاری ا‌ست ٢‌) زمادی از نمد و روغن ‌و سقز ٣) كنایه ‌از مـصر
نؤسەكە	فارسی:بذر خاری ا‌ست‌
نؤسیا	فارسی:١) نوشته ‌شد ٢) می‌نوشت‌
نؤسیاد	فارسی:داشت می‌نوشت‌
نؤسیاس‌	فارسی:نوشته ‌شده‌ ا‌ست‌
نؤسیان‌	فارسی:نوشته ‌شدن‌
نؤسیاگ‌	فارسی:نوشته ‌شده‌
نؤسیاێ	فارسی:نوشته‌ شده‌
نؤسین‌	فارسی:١) شما می‌نویسید ٢) نوشتن‌
نؤس‌	فارسی:١) نوچ‌، لزج ٢‌) ریشه فعل‌ نوشتن ٣‌) پسوند نوشتن ٤‌) آلت ‌تناسلی مرد
نؤس‌ بؤن‌	فارسی:لزج ‌بودن‌، نوچ‌ بودن‌
نؤشت‌	فارسی:بهم ‌فشردن‌، مچاله ‌كردن‌
نؤشت‌ بؤن‌	فارسی:بهم ‌فشرده ‌شدن‌ ومچاله ‌شدن‌
نؤشت ‌كردن‌	فارسی:له ‌كردن‌، مچاله ‌كردن‌
نؤقانن‌	فارسی:برهم ‌نهادن‌، بویژه ‌برای ‌چشم‌
نؤقاێ نؤق‌	فارسی:پـُر، لبالب‌
نؤقن‌	فارسی:بدقواره‌، بدریخت‌
نؤقیان‌	فارسی:‌بهم ‌فشرده‌ شدن‌، بسته ‌شدن‌، بویژه ‌برای ‌چشم‌
نؤق‌	فارسی:١) ریشه‌‌ فعل «نؤقانن‌» بهم‌ فشردن‌ ٢) لبالب، پـُر
نؤكانن‌	فارسی:گریستن‌ نه ‌از روی‌ دلسوزی‌
نؤكە	فارسی:گریستن ‌نه ‌از روی‌ دلسوزی‌
نؤكەنؤك‌	فارسی:نگا نؤكانن‌
نؤك‌	فارسی:١) بینی ٢) هم‌ ردیف‌ ناز
نؤك ‌تەڕ كردن‌	فارسی:گریستن ‌نه ‌از روی ‌دلسوزی بلكه ‌تنها ادای گریستن ‌درآوردن‌
نؤنەر‌	فارسی:نماینده‌‌
نؤنەو نەر	فارسی:نمایده، نمایندگی، آنكه ‌مقری را برای ‌ارائه‌ی خدمات‌ یا برنامه‌ریزی ‌نشان ‌می‌كند
نؤنگانن‌	فارسی:تو دماغی گریستن‌
نؤنگن‌	فارسی:كسی ‌كه ‌تودماغی می‌ گرید
نؤنگە	فارسی:تودماغی گریستن‌
نؤنگْ‌ ناگ‌	فارسی:تودماغی گریستن‌
نؤنگ‌	فارسی:تو دماغی گریه کردن
نؤن‌	فارسی:١) آدرس‌، نشانه‌، سرنخ ٢‌) مكان‌
نؤچانن‌	فارسی:بهم‌فشردن‌
نؤچە	فارسی:خوراكیی كه ‌از ‌نان‌ و خرما درست ‌كنند و در جمعه ‌‌آخرسال ‌پخش‌ كنند
نؤچەنؤچ‌	فارسی:به ‌آرامی ‌خوردن‌ غذا
نؤچەنؤچ‌ كردن‌	فارسی:نگا نؤچه‌نؤچ‌
نؤچیان‌	فارسی:فشرده ‌شدن‌
نؤچ‌	فارسی:١) بهم ‌فشردن ‌مانند بهم‌ فشردن ‌دستان ٢‌) نوچ‌، لزج‌ ٣) دو تا شدن‌
نؤچ‌ بؤن‌	فارسی:تاشدن‌، خم‌شدن‌
نؤچ‌ كردن‌	فارسی:بهم‌فشردن‌
نؤڕ	فارسی:١) صدای‌ ضجه‌ ‌سگ‌ ٢) صدای‌ زمخت ‌گریستن ٣‌) نفرین‌ ٤) روستایی در سرفیروزآباد از توابع مادیدشت
نؤڕناڕ	فارسی:١) صدای‌ پیاپی ضجه‌ ‌سگ‌ ٢) صدای‌ گریستن ‌زمخت‌
نا	فارسی:١) ناو آسیاب ‌آبی ٢‌) گذاشت‌ ٣) دنبال ‌كردن‌ ٤) نه‌، كلمه ‌انكار ٥) بدون‌، بی
ناؤ	فارسی:گذاشته‌ بود
ناؤا	فارسی:گذاشته ‌بود
ناؤان‌	فارسی:آنها را گذاشته‌ بود
ناؤد	فارسی:گذاشته‌ بود
ناؤدا	فارسی:گذاشته ‌بود
ناؤدان‌	فارسی:١) آنها را گذاشته‌ بود در... ٢) آنها را بسته ‌بود، درها را بسته‌ بود
ناؤدێیا	فارسی:١) دعوا برپا کرده بود ٢) دامها را گسترانده ‌بود ٣) درها را بسته‌ بود
ناؤدێیەو	فارسی:نگا ناؤدێا
ناؤما	فارسی:١) درها را بسته‌ بودم ٢‌) آغاز كرده‌ بودم ٣‌) دامها را گسترانده بودم‌
ناؤمان‌	فارسی:١) آنها را بسته‌ بودم ٢‌) گذاشته‌ بودم‌
ناؤمنا	فارسی:نگا ناؤمنه‌و
ناؤمنان‌	فارسی:١) درها را بسته ‌بودیم‌ ٢) دامها را گذاشته‌ بودیم‌ ٣) آنها را گذاشته ‌بودیم ‌در...
ناؤمنەو	فارسی:١) آغاز كرده‌ بودیم ٢‌) درها را بسته ‌بودیم‌ ٣) دامها را گسترانده ‌بودیم‌
ناؤمنێيەو	فارسی:نگا ناؤمنه‌و
ناؤمنێیان‌	فارسی:نگا ناؤمنان‌
ناؤمن‌	فارسی:١) گذاشته‌ بودیم‌ در... ٢) درها را بسته ‌بودیم‌
ناؤمێيەو	فارسی:نگا ناؤما
ناؤمێیان‌	فارسی:نگا ناؤمان‌
ناؤم‌	فارسی:١) گذاشته ‌بودم ‌در... ٢) بسته ‌بودم‌، درها را بسته‌ بودم‌
ناؤنا	فارسی:١) دامها را گسترانده ‌بودند ٢) درها را بسته ‌بودند ٣) آغاز كرده‌ بودند
ناؤنان‌	فارسی:١) درها را بسته ‌بودند ٢) دامها را گسترانده ‌بودند ٣) گذاشته‌ بودند در...
ناؤنەو	فارسی:نگا ناؤنا
ناؤنێان‌	فارسی:نگا ناؤنان‌
ناؤنێيەو	فارسی:نگا ناؤنا
ناؤن‌	فارسی:١) گذاشته ‌بودند ٢) بسته‌ بودند، درها را بسته‌ بودند
ناؤە	فارسی:تهمت‌، افترا
ناؤەناشەڕ	فارسی:نكردنی ونگفتنی، شگفت‌ انگیز، تهمت ‌ناروا، سخن غیر شرعی و نا معقول
نائاڵ	فارسی:نا آرام‌
نائمێد	فارسی:ناامید
نائەسڵ	فارسی:نا اصل‌
نائەمن‌	فارسی:خـطرناك‌
نائەڵانجی	فارسی:ناچاری، ناگزیری
نائەڵانج‌	فارسی:ناچار، ناگزیر
نائومێد	فارسی:ناامید
نائڵانجی	فارسی:ناچاری، ناگزیری
نائڵانج‌	فارسی:ناچار، ناگزیر
ناباو	فارسی:ناباب‌، بی رواج‌
ناباڵغ‌	فارسی:نابالغ‌
ناباڵق‌	فارسی:نابالغ‌
ناباێس‌	فارسی:ناشایست‌
نابەڵەی	فارسی:نابلد
نابەڵە‌د	فارسی:نابلد، ناوارد
نابەڵە‌گ‌	فارسی:نابلد، ناوارد
نابەین‌	فارسی:مرز میان ‌دو زمین‌ كشاورزی‌‌
نابووت كردن‌	فارسی:نابود كردن‌
نابووتە	فارسی:بد ریخت‌
نابووتی	فارسی:نابودی
نابووت‌	فارسی:نابود
نابووت ‌بؤن‌	فارسی:نابود شدن‌
ناتؤ	فارسی:نیامده‌ بود
ناتەمام‌	فارسی:١) كنایه‌ از فقیر ٢) ناتمام‌
ناتەمەیس‌	فارسی:كثیف‌
ناتەو	فارسی:برنگشت‌
ناتەوان‌	فارسی:ناتوان‌
ناتوا	فارسی:نمی‌خواهد
ناتوام‌	فارسی:نمی‌خواهم‌
ناتوان‌	فارسی:نمی‌خواهند
ناتوای	فارسی:نمی‌خواهی
ناتواێ	فارسی:نمی‌خواهد
ناتوُان	فارسی:ناتوان‌
نات‌	فارسی:١) نیامد، بدشانسی ٢) او نیامد
ناجسن‌	فارسی:١) بدل ٢‌) بدجنس‌
ناجەسە	فارسی:بی نمود
ناجوور	فارسی:ناجور
ناحساو	فارسی:١) بی حد وحساب ٢‌) كار نابجا
ناحساوی	فارسی:١) كار نابجا ٢) گردن ‌كلفتی
ناحەز	فارسی:سخن ‌ناخوش‌، شخـص‌ بد ریخت‌
ناحەقی	فارسی:ستم‌
ناحەق‌	فارسی:١) نابحق‌، ناروا ٢) اصطلاحاً به ‌چابك ‌و كار آمد گویند
ناخؤنە	فارسی:بیماری‌ چشمی
ناخؤنەك‌	فارسی:بیماری ‌چشمی
ناخؤن گاز	فارسی:زخمی ‌كه ‌در اثر سایش‌ ناخون‌ بوجود آید كه‌ معمولا هم ‌دردناك‌ ا‌ست‌
ناخؤنگیر	فارسی:ناخونگیر
ناخؤن‌	فارسی:ناخون‌، در دیگر گویشهای كردی «ناخو، نه‌ینۆ‌ك‌، نه‌ینوك‌» گویند
ناخؤن ‌شەیتانە	فارسی:حلزون‌
ناخار	فارسی:پریشان‌، پریشانی
ناخاس‌	فارسی:دشنام‌
ناخاس ‌كردن‌	فارسی:١) كار ناروا انجام‌ دادن ٢‌) دشنام‌دادن‌
ناخاس ‌وەتن‌	فارسی:دشنام‌دادن‌
ناخافڵ	فارسی:ناگهانی
ناخاڵە‌	فارسی:ابله‌
ناخاڵە‌بازی‌	فارسی:كاری‌ را از روی جهالت ‌انجام‌ دادن‌
ناخەڵە‌ف‌	فارسی:فرزند ناخلف‌
ناخوا	فارسی:ناودان‌
ناخودا	فارسی:١) ناخدا ٢) بی وجدان‌
ناخورا	فارسی:غیر قابل‌ خوردن‌
ناخوڕە	فارسی:ناودان‌
ناخڕنەك‌	فارسی:نگا خڕناك‌
ناخڕە	فارسی:گلو
ناخ‌	فارسی:عمق‌، درون‌
ناد	فارسی:گذاشت‌
نادا	فارسی:١) گذاشت ٢‌) محلی را برای ‌دزدی نشان‌ كرد ٣) مرغ ‌كـُرچ‌ را روی‌ تخم‌هایش‌ خوابانید ٤) دام‌ گسترانید ٥) در یا پنجره‌ را بست‌
نادانەو	فارسی:١) گذاشت ٢‌) دامها را گسترانید ٣) درها را بست‌
نادانی	فارسی:نادانی
نادان‌	فارسی:١) آنها را گذاشت‌ ٢) نادان‌
نادر	فارسی:نامی ‌مردانه‌
نادرْس	فارسی:١) ضد درست‌، نادرست‌ ٢) كنایه‌ از حرامزاده‌
نادنەو	فارسی:نگا نادا
نادن‌	فارسی:گذاشت‌، نهاد
نادە	فارسی:دنبال ‌كرد
نادە دەو	فارسی:پا به ‌فرار گذاشت‌
ناده ‌سەر	فارسی:بر سر گذاشت‌
ناده ‌مل‌	فارسی:بر عهده‌ گذاشت‌
نادەو	فارسی:١) نگا نادا ٢) پا به‌ فرار گذاشت‌
نادیار	فارسی:ناپیدا، گم‌، در سكزی‌ ‌ولارستانی «نادیار» گویند
نادێن‌	فارسی:محل‌ گذاشتن ‌نان‌، ناندان‌
نار	فارسی:نیاور
نارا	فارسی:١) برنگردان‌، پس ‌نیاور ٢) نگا نادا
ناران‌	فارسی:١) آنها را گذاشت‌... ٢) آنها را نیاور
ناراو	فارسی:روستایی در جوانرود
ناراو میرئاوا	فارسی:روستایی در روانسر
ناراوی	فارسی:روستایی در روانسر
نارد	فارسی:فرستاد
ناردم‌	فارسی:فرستادم‌
ناردن‌	فارسی:فرستادن، فرستادند
نارما	فارسی:برنگردانم‌
نارمان‌	فارسی:آنها را نیاورم‌
نارمەو	فارسی:برنگردانم‌
نارم‌	فارسی:نیاورم‌
نارنا	فارسی:برنگردانید
نارنان‌	فارسی:آنها را نیاورید
نارنجە	فارسی:نامی‌ زنانه‌
نارنجەك‌	فارسی:نارنجك‌
نارنجی	فارسی:رنگ‌ نارنجی
نارنج‌	فارسی:١) نامی زنانه ٢‌) میوه‌‌ نارنج‌ ٣‌) روستایی در ویژنان از توابع گیلانغرب
نارنەو	فارسی:برنگردانید
نارنگی	فارسی:نارنگی
نارن‌	فارسی:نیاورید
نارە	فارسی:نیاور به‌...
نارەو	فارسی:نگا نارا
نارەوەی	فارسی:١) آنرا با خود نیاور ٢) شروع‌ كرد، آغاز كرد ٣) محلی‌ را برای ‌دزی ‌دید زد
ناروەن‌	فارسی:درخت‌ نارون‌
ناری	فارسی:١) نیاوری ٢) قحـطـی زده‌
ناریا	فارسی:١) برنگردانی ٢) پس‌ فرستاده ‌شد
نارێ	فارسی:نیاورد
نارێگ‌	فارسی:نگا نارێد
ناز	فارسی:ناز، عشوه‌
نازا	فارسی:نازا
نازار	فارسی:١) نازنین‌، ناز دار ٢) نامی ‌زنانه ‌و مردانه ٣) پاک و معـصوم «نا + زار = زبان» کسی که مردم از زبانش در امان هستند‌
نازاری	فارسی:‌١) نامی زنانه ‌ومردانه ٢‌) عشوه‌گری
نازاری شێویان‌	فارسی:كنایه از بی قـُرب ‌شدن‌
نازاری كردن‌	فارسی:عشوه‌گری كردن‌
نازباڵشت‌	فارسی:ناز بالش‌
نازدار	فارسی:عشوه‌گر، نازنین‌
نازداری	فارسی:نگا نازاری
نازشێویان‌	فارسی:كنایه ‌از بی قـُرب‌ شدن‌
ناز فرووشان‌	فارسی:ناز كردن‌
ناز كردن‌	فارسی:ناز كردن‌
نازكەر	فارسی:عشوه‌گر
نازكەش‌	فارسی:نازكش‌
نازكی	فارسی:١) نرمی‌ ٢) تـُردی ٣) نازكی
نازكیشان‌	فارسی:١) نازكشیدن‌ ٢) سرپرستی و غمخوارگی كردن‌
نازكیش‌	فارسی:نازكش‌
نازك‌	فارسی:نازُك‌، ظریف‌
نازك ‌كار	فارسی:ا‌ستاد نازك ‌كاری‌ در گچ‌
نازك‌ كاری‌	فارسی:‌نازك‌ كاری ‌در گچ‌
نازلیان	فارسی:روستایی در چمچمال از توابع ‌هرسین
نازم‌	فارسی:١) می‌نازم‌، می‌بالم ٢‌) ناظم‌ مدرسه‌
نازناو	فارسی:تخلـص‌
نازن‌	فارسی:می‌نازند، می‌بالند
نازە	فارسی:گوشت زیر ناخون‌، در سكزی «نازه‌» به‌ سرانگشت‌ گویند
نازەناخؤن‌	فارسی:١) گوشت زیر ناخون ٢‌) خسیس‌
نازەنین‌	فارسی:نازنین‌، نامی‌زنانه‌
نازەن‌ وبلا	فارسی:معاذالله‌
ناز ونؤز	فارسی:عشوه ‌وناز
نازْ نؤز	فارسی:عشوه‌ وناز
نازپەروەر	فارسی:١) نامی‌ زنانه ٢‌) ناز پرورده‌
نازپێ كردن‌	فارسی:بالیدن‌، نازیدن‌
نازگ‌	فارسی:نازك‌
نازین‌	فارسی:١) ناز كردن ‌٢) بالیدن‌، افتخار كردن‌
نازی‌	فارسی:نامی ‌زنانه‌
ناساخی	فارسی:ناخوشی‌
ناساخ‌	فارسی:ناخوش‌
ناساز	فارسی:١) ناخوش، بیمار ٢) ناسازگار
ناسازبؤن‌	فارسی:ناخوش‌ شدن‌
ناساز كردن‌	فارسی:بیمار كردن‌
ناسازگار	فارسی:ناسازگار
ناسازی‌	فارسی:بیماری‌
ناساقی	فارسی:بیماری‌
ناساق‌	فارسی:بیمار، ناخوش‌
ناسانن‌	فارسی:شناساندن‌، معرفی كردن‌
ناسرانی	فارسی:ناآرام‌
ناسزا	فارسی:١) دشنام‌ ٢) ناسزاوار
ناسك‌	فارسی:نازك‌
ناسلؤك‌	فارسی:ناسازگار
ناسوور	فارسی:زخم‌ دیر التیام‌، در لاتین‌ (sore) بمعنی ‌زخم ‌ا‌ست‌
ناسپەروەر	فارسی:نامی ‌زنانه‌
ناسی	فارسی:شناخت‌، می‌شناسی؟
ناسیا	فارسی:می‌شناخت‌
ناسیاد	فارسی:می‌شناخت‌
ناسیان‌	فارسی:٢) می‌شناختند ٢) شناختن‌
ناسیاگ‌	فارسی:شناخته ‌شده‌
ناسیای	فارسی:شناخته‌شد
ناسین‌	فارسی:١) شناختن ٢‌) می‌شناسید
ناسێ	فارسی:می‌شناسد
ناسێار	فارسی:شناسه‌، شناخته ‌شده‌، مشخـص‌
ناس‌	فارسی:١) توتون‌ مخلوط‌ با آهك‌ كه از آن ‌به‌ عنوان ‌مواد مخدر ‌ا‌ستفاده ‌می‌كنند ٢) ریشه‌‌ فعل‌ « ناسین‌» ٣) پسوند شناختن‌ ٤) ناز
ناشاد	فارسی:غمگین‌
ناشاس‌	فارسی:ناشایست‌
ناشایسە	فارسی:ناشایست‌
ناشتا	فارسی:ناشتا، صبحانه‌
ناشتابەرزە	فارسی:نگا به‌رزه ‌ناشتا
ناشتا كردن‌	فارسی:صبحانه‌ ‌خوردن‌
ناشتا وەزیر	فارسی:ناشتایی كه ‌بعلت ‌دیراز خواب بیدار شدن‌ بعد از ساعت ‌خورده ‌شود
ناشرین‌	فارسی:١) بد ریخت‌ ٢) سخن ‌ناروا
ناشەر	فارسی:ناروا، ضد شرع‌
ناشەرا	فارسی:ناروا، بدور از انـصاف‌
ناشی‌	فارسی:ناشی‌
ناشی‌ بازی‌	فارسی:ناشی‌ بازی‌
ناف كردن‌	فارسی:نفع‌ كردن‌
نافەرمانی	فارسی:نا فرمانی
نافەرمان‌	فارسی:عاصـی، نافرمان‌
نافەك‌	فارسی:١) جای ‌بند تنبان در شلوار ٢‌) خشتك ‌شلوار
نافی	فارسی:پولی كه ‌بابت‌ آن‌ نزول‌ بگیرند
ناف‌	فارسی:١) نفع‌، سود ٢) ناف، نافه
ناف‌ لەبان‌	فارسی:پولی كه ‌بابت ‌آن ‌نزول ‌بگیرند
ناقابڵ	فارسی:بی ارزش‌
ناقنز	فارسی:ناقـص‌، ناتمام‌
ناقە	فارسی:نگا ناق‌
ناقڕە	فارسی:گلو
ناق‌	فارسی:١) گلو، در دماوندی «ناق‌» گویند ٢) ناف‌
ناكار كردن‌	فارسی:از كار انداختن‌
ناكامگیر	فارسی:١) صفت سگی كه ‌ناگهانی از پشت‌ بدون ‌پارس ‌كردن ‌حمله ‌می‌كند ٢) غافلگیر كردن‌
ناكام‌	فارسی:١) یكهو، ناگهانی ٢) ناكام ٣) ناقـصالعـضو‌
ناكام ‌بؤن‌	فارسی:جوانمرگ‌ شدن‌، ناكام ‌مردن‌
ناكام‌ چین‌	فارسی:ناكام ‌مردن‌
ناكاو	فارسی:یكهو، ناغافل‌
ناكەسی	فارسی:نامردی
ناكەس‌	فارسی:ناكس‌
ناكوُك	فارسی:پریشان‌، ناخوش‌
ناكوُكی	فارسی:١) ناخوشی‌، پریشانی ٢) میانه‌ دو كس‌ بهم‌ خوردن‌
ناكوڕ	فارسی:نامرد
ناكوڕی	فارسی:نامردی
ناك‌	فارسی:پسوند دارا بودن‌
نالە	فارسی:دنبال‌ كردن‌
نالی	فارسی:تـُشك‌، در گیلكی‌ «نـَلی» و در سكزی ‌‌و كرمانی‌ «نالی» گویند
نالین‌	فارسی:تـُشك‌
ناما	فارسی:١) برنگردم ٢‌) دام‌ نهادم ٣‌) مرغ‌ كـُرچ‌ را روی ‌تخمهایش‌ خوابانیدم‌ ٤) در و پنجره ‌را محكم ‌بستم‌
ناماقووڵ	فارسی:نا معقول‌
نامان‌	فارسی:‌گذاشتم‌، گذاشتمشان‌
نامدار	فارسی:١) نامدار، اسم‌ و رسم‌ دار، در اوستا (namişte نامشته‌) نوشته ‌شده ٢‌) نامی‌ مردانه ٣‌) روستایی در هوزمانان‌
نامراد	فارسی:ناكام‌، نامراد
نامرادی	فارسی:نامردای
نامزات‌	فارسی:نامزد
نامشتێ	فارسی:غیر قابل‌ اعتماد
نامشماڵ	فارسی:بدریخت‌، بد شكل‌
نامـْگە	فارسی:مخفف ‌نعمت‌، نام ‌مردانه‌
نامە	فارسی:١) نامه‌ ٢) گذاشته‌ام‌ در... ٣) دنبال‌ كردم‌ ٤) در یا پنجره‌ را بستم‌
نامەت‌	فارسی:١) مخفف‌ نعمت‌، نام‌ مردانه ٢‌) نعمت‌
نامەد	فارسی:بدبیاری‌‌
نامەربووت‌	فارسی:١) سخن‌ بی ربـط‌ ٢) بدریخت‌
نامەرد	فارسی:نامرد
نامەردی	فارسی:نامردی
نامەسەو	فارسی:١) دام‌ گذاشته ‌ام‌، تله ‌گذاشته‌ام‌ ٢) جایی‌ را برای‌ دزدی فراهم ‌كرده‌ام‌ ٣) مرغ ‌كرچ‌ را روی‌ تخمهایش‌ خوابانید ه‌ام ٤‌) در یا پنجره‌ را محكم ‌بسته‌ام‌
نامەسەوەی	فارسی:نگا نامه ‌سه‌و
نامەسەی	فارسی:١) آنرا گذاشته‌ام ‌در... ٢) گذاشته‌ام ‌كه‌...٣) در یا پنجره‌ را محكم‌ بسته‌ام‌
نامەو	فارسی:نگا ناما
نامەی	فارسی:نیامد، بد بیاری‌‌
نامەی	فارسی:١) آنرا گذاشتم‌... ٢) در یا پنجره ‌را بستم ٣‌) مرغ ‌كـُرچ‌ را روی ‌تخمهایش ‌خواباندم‌
نامەی قولی	فارسی:كنایه ‌از بد بیار
نامەی گرتێ	فارسی:بد بیاری ‌‌آوردن‌
ناموو	فارسی:١) نابلد، نا وارد ٢) شکم چران
نامووس‌	فارسی:ناموس‌
ناموویەری	فارسی:١) شكم ‌چرانی ٢) نابلدی، نا واردی
ناموویی	فارسی:١) نا بلدی ٢) شکم چرانی
نامْخودا	فارسی:تبارك‌ الله‌، نام‌خدا
نامژماڵ	فارسی:بدریخت‌، بد شكل‌
نامژمەڵ	فارسی:بدریخت‌، بد شكل‌
نامڵە	فارسی:روستایی در گیلانغرب
نامینە	فارسی:میانی
نامین‌	فارسی:وسـطـی، میانی
نامیەرن‌	فارسی:نگا ناومیه‌رن‌
نامیەری	فارسی:١) بدبیاری‌ ٢‌) ناامیدی
نامێا	فارسی:١) بنای دعوا را گذاشتم‌ ٢) مرغ‌ كـُرچ ‌را روی ‌تخمهایش‌ خوابا نیدم‌ ٣) در یا پنجره ‌را بستم ٤‌) محلی را برای ‌دزدی زیر نظر گرفتم‌
